Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
5,Corporaciones Locales,SL 01/2019,Informe Anual sobre la rendición de cuentas del Sector Público Local Andaluz. 2017,"Nro. 19, 15/10/2019",Cerca de 1 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=586&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=586&type=resume,https://www.juntadeandalucia.es/eboja/2019/199/BOJA19-199-00182-15102-01_00163322.pdf,2019
0,Corporaciones Locales,SL 11/2018,Fiscalización de los contratos y convenios formalizados por el Ayuntamiento de Cádiz,"Nro. 20, 30/01/2020",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=544&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=544&type=resume,https://www.juntadeandalucia.es/eboja/2020/20/BOJA20-020-00032-1128-01_00168619.pdf,2018
2,Corporaciones Locales,SL 04/2018,Fiscalización de determinadas áreas del Ayuntamiento de Salobreña (Granada),"Nro. 236, 10/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=558&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=558&type=resume,https://www.juntadeandalucia.es/eboja/2019/236/BOJA19-236-00037-18120-01_00166258.pdf,2018
3,Corporaciones Locales,SL 16/2018,Fiscalización de determinadas áreas del Ayuntamiento de Gibraleón (Huelva),"Nro. 236, 10/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=567&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=567&type=resume,https://www.juntadeandalucia.es/eboja/2019/236/BOJA19-236-00030-18122-01_00166256.pdf,2018
4,Corporaciones Locales,SL 03/2018,Fiscalización de determinadas áreas del Ayuntamiento de Carmona (Sevilla),"Nro. 236, 10/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=557&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=557&type=resume,https://www.juntadeandalucia.es/eboja/2019/236/BOJA19-236-00035-18121-01_00166257.pdf,2018
19,Corporaciones Locales,SL 01/2018,Informe anual sobre la rendición de cuentas del Sector Público Local Andaluz. 2016,"Nro. 182, 19/09/2018",Cerca de 1 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=547&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=547&type=resume,https://www.juntadeandalucia.es/eboja/2018/182/BOJA18-182-00147-15116-01_00142413.pdf,2018
1,Corporaciones Locales,SL 05/2018,Fiscalización de determinadas áreas del Ayuntamiento de Prado del Rey (Cádiz),"Nro. 240, 16/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=559&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=559&type=resume,https://www.juntadeandalucia.es/eboja/2019/240/BOJA19-240-00025-18534-01_00166653.pdf,2018
9,Corporaciones Locales,SL 17/2018,"Fiscalización relativa a los acuerdos y resoluciones contrarios a reparos formulados por los Interventores Locales y las anomalías detectadas en materia de ingresos, así como sobre los acuerdos adoptados con omisión del trámite de fiscalización previa, ejercicio 2016, en coordinación con el Tribunal de Cuentas y los Órganos de Control Externo de las Comunidades Autónomas.","Nro. 180, 18/09/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=545&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=545&type=resume,https://www.juntadeandalucia.es/eboja/2019/180/BOJA19-180-00172-13422-01_00161667.pdf,2018
11,Corporaciones Locales,SL 14/2017,Fiscalización de la actividad contractual sujeta a la Ley de Contratos del Sector Público realizada por el Ayuntamiento de Jaén,"Nro. 102, 30/05/2019",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=527&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=527&type=resume,https://www.juntadeandalucia.es/eboja/2019/102/BOJA19-102-00027-7921-01_00156258.pdf,2017
17,Corporaciones Locales,SL 05/2017,Fiscalización del cumplimiento del principio de transparencia por la Diputación de Almería,"Nro. 233, 03/12/2018",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=484&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=484&type=resume,https://www.juntadeandalucia.es/eboja/2018/233/BOJA18-233-00031-19718-01_00146933.pdf,2017
