Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
0,Junta de Andalucía,JA 02/2019,Fiscalización de los Fondos de Compensación Interterritorial. 2018,No aparece el nro. de BOJA,No se puede indicar,https://www.ccuentas.es/public/modules/report/downloader.php?file=569&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=569&type=resume,No aparece el enlace de BOJA,2019
5,Corporaciones Locales,SL 01/2019,Informe Anual sobre la rendición de cuentas del Sector Público Local Andaluz. 2017,"Nro. 19, 15/10/2019",Cerca de 1 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=586&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=586&type=resume,https://www.juntadeandalucia.es/eboja/2019/199/BOJA19-199-00182-15102-01_00163322.pdf,2019
3,Coordinación,CO 01/2018,Seguimiento de las recomendaciones incluidas en el informe de fiscalización de determinadas áreas del Ayuntamiento de Aguadulce (Sevilla),"Nro. 53, 19/03/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=530&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=530&type=resume,https://www.juntadeandalucia.es/eboja/2019/53/BOJA19-053-00038-3623-01_00152004.pdf,2018
9,Corporaciones Locales,SL 17/2018,"Fiscalización relativa a los acuerdos y resoluciones contrarios a reparos formulados por los Interventores Locales y las anomalías detectadas en materia de ingresos, así como sobre los acuerdos adoptados con omisión del trámite de fiscalización previa, ejercicio 2016, en coordinación con el Tribunal de Cuentas y los Órganos de Control Externo de las Comunidades Autónomas.","Nro. 180, 18/09/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=545&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=545&type=resume,https://www.juntadeandalucia.es/eboja/2019/180/BOJA19-180-00172-13422-01_00161667.pdf,2018
1,Corporaciones Locales,SL 05/2018,Fiscalización de determinadas áreas del Ayuntamiento de Prado del Rey (Cádiz),"Nro. 240, 16/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=559&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=559&type=resume,https://www.juntadeandalucia.es/eboja/2019/240/BOJA19-240-00025-18534-01_00166653.pdf,2018
19,Corporaciones Locales,SL 01/2018,Informe anual sobre la rendición de cuentas del Sector Público Local Andaluz. 2016,"Nro. 182, 19/09/2018",Cerca de 1 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=547&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=547&type=resume,https://www.juntadeandalucia.es/eboja/2018/182/BOJA18-182-00147-15116-01_00142413.pdf,2018
4,Corporaciones Locales,SL 03/2018,Fiscalización de determinadas áreas del Ayuntamiento de Carmona (Sevilla),"Nro. 236, 10/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=557&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=557&type=resume,https://www.juntadeandalucia.es/eboja/2019/236/BOJA19-236-00035-18121-01_00166257.pdf,2018
3,Corporaciones Locales,SL 16/2018,Fiscalización de determinadas áreas del Ayuntamiento de Gibraleón (Huelva),"Nro. 236, 10/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=567&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=567&type=resume,https://www.juntadeandalucia.es/eboja/2019/236/BOJA19-236-00030-18122-01_00166256.pdf,2018
1,Junta de Andalucía,JA 08/2018,Fiscalización de los planes de empleo para personas jóvenes en Andalucía: Iniciativa de cooperación social y comunitaria. 2014-2016,No aparece el nro. de BOJA,No se puede indicar,https://www.ccuentas.es/public/modules/report/downloader.php?file=552&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=552&type=resume,No aparece el enlace de BOJA,2018
1,Organismos y Empresas Públicas,OE 04/2018,"Fiscalización de la sociedad mercantil Desarrollo del Condado, S.A.","Nro. 30, 13/02/2020",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=533&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=533&type=resume,https://www.juntadeandalucia.es/eboja/2020/30/BOJA20-030-00025-2064-01_00169516.pdf,2018
4,Organismos y Empresas Públicas,OE 03/2018,"Fiscalización de la sociedad mercantil Aguas y Residuos del Campo de Gibraltar, S.A.","Nro. 241, 17/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=554&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=554&type=resume,https://www.juntadeandalucia.es/eboja/2019/241/BOJA19-241-00096-18540-01_00166664.pdf,2018
