Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
0,Junta de Andalucía,JA 02/2019,Fiscalización de los Fondos de Compensación Interterritorial. 2018,No aparece el nro. de BOJA,No se puede indicar,https://www.ccuentas.es/public/modules/report/downloader.php?file=569&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=569&type=resume,No aparece el enlace de BOJA,2019
1,Junta de Andalucía,JA 08/2018,Fiscalización de los planes de empleo para personas jóvenes en Andalucía: Iniciativa de cooperación social y comunitaria. 2014-2016,No aparece el nro. de BOJA,No se puede indicar,https://www.ccuentas.es/public/modules/report/downloader.php?file=552&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=552&type=resume,No aparece el enlace de BOJA,2018
3,Junta de Andalucía,JA 12/2018,Fiscalización de cumplimiento de la Universidad de Málaga,"Nro. 240, 16/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=540&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=540&type=resume,https://www.juntadeandalucia.es/eboja/2019/240/BOJA19-240-00065-18539-01_00166663.pdf,2018
4,Junta de Andalucía,JA 06/2018,Fiscalización del III Plan Integral para la Inmigración en Andalucía,"Nro. 240, 16/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=534&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=534&type=resume,https://www.juntadeandalucia.es/eboja/2019/240/BOJA19-240-00124-18531-01_00166658.pdf,2018
5,Junta de Andalucía,JA 11/2018,Fiscalización de cumplimiento de la Universidad de Córdoba,"Nro. 236, 10/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=541&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=541&type=resume,https://www.juntadeandalucia.es/eboja/2019/236/BOJA19-236-00054-18119-01_00166259.pdf,2018
6,Junta de Andalucía,JA 13/2018,Fiscalización de cumplimiento de la Universidad de Sevilla,"Nro. 199, 15/10/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=536&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=536&type=resume,https://www.juntadeandalucia.es/eboja/2019/199/BOJA19-199-00064-15103-01_00163325.pdf,2018
7,Junta de Andalucía,JA 14/2018,Fiscalización de la contabilidad electoral de las elecciones al Parlamento de Andalucía de 2 de diciembre de 2018,"Nro. 134, 15/07/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=605&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=605&type=resume,https://www.juntadeandalucia.es/eboja/2019/134/BOJA19-134-00032-10789-01_00159062.pdf,2018
8,Junta de Andalucía,JA 10/2018,Fiscalización de cumplimiento de la Universidad de Cádiz,"Nro. 132, 11/07/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=537&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=537&type=resume,https://www.juntadeandalucia.es/eboja/2019/132/BOJA19-132-00070-10547-01_00158857.pdf,2018
10,Junta de Andalucía,JA 01/2018,Fiscalización de la Cuenta General de la Junta de Andalucía. 2017,"Nro. 6, 30/03/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=548&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=548&type=resume,https://www.juntadeandalucia.es/eboja/2019/506/index.html,2018
11,Junta de Andalucía,JA 02/2018,Fiscalización de los Fondos de Compensación Interterritorial. 2017,"Nro. 58, 26/03/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=546&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=546&type=resume,https://www.juntadeandalucia.es/eboja/2019/58/BOJA19-058-00020-4156-01_00152512.pdf,2018
13,Junta de Andalucía,JA 09/2017,Fiscalización de las subvenciones excepcionales concedidas por determinadas Consejerías y Agencias de la Junta de Andalucía. 2016,"Nro. 22, 01/02/2019",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=513&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=513&type=resume,https://www.juntadeandalucia.es/eboja/2019/22/BOJA19-022-00152-1411-01_00149834.pdf,2017
19,Junta de Andalucía,JA 11/2017,Fiscalización de regularidad de la Universidad de Almería. 2016,"Nro. 65, 05/04/2018",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=517&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=517&type=resume,http://www.juntadeandalucia.es/eboja/2018/65/BOJA18-065-00088-5896-01_00133296.pdf,2017
17,Junta de Andalucía,JA 01/2017,Fiscalización de la Cuenta General de la Junta de Andalucía. 2016,"Nro. 74, 18/04/2018",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=516&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=516&type=resume,http://www.juntadeandalucia.es/eboja/2018/74/BOJA18-074-00608-6437-01_00133850.pdf,2017
18,Junta de Andalucía,JA 02/2017,Fiscalización de los Fondos de Compensación Interterritorial. 2016,"Nro. 71, 13/04/2018",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=515&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=515&type=resume,http://www.juntadeandalucia.es/eboja/2018/71/BOJA18-071-00029-6436-01_00133849.pdf,2017
12,Junta de Andalucía,JA 05/2017,Fiscalización sobre los procesos de extinción de entidades dependientes de la Comunidad Autónoma de Andalucía como consecuencia de la reestructuración de su sector público (en coordinación con el Tribunal de Cuentas). Periodo fiscalizado -julio de 2010 a diciembre de 2016-,"Nro. 23, 04/02/2019",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=526&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=526&type=resume,https://www.juntadeandalucia.es/eboja/2019/23/BOJA19-023-00136-1542-01_00149953.pdf,2017
9,Junta de Andalucía,JA 07/2017,Fiscalización de las becas y ayudas al estudio: Programa de gratuidad de libros de texto. Auditoría del sistema de información SÉNECA. 2016 y 2017,"Nro. 102, 30/05/2019",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=525&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=525&type=resume,https://www.juntadeandalucia.es/eboja/2019/102/BOJA19-102-00086-7925-01_00156255.pdf,2017
14,Junta de Andalucía,JA 05/2016,"Fiscalización del Programa Presupuestario 42E ""Educación Especial""","Nro. 234, 04/12/2018",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=477&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=477&type=resume,https://www.juntadeandalucia.es/eboja/2018/234/BOJA18-234-00210-19720-01_00146934.pdf,2016
2,Junta de Andalucía,JA 04/2016,"Fiscalización del Programa Presupuestario 54A ""Investigación científica e innovación""","Nro. 35, 20/02/2020",Cerca de 5 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=476&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=476&type=resume,https://www.juntadeandalucia.es/eboja/2020/35/BOJA20-035-00117-2507-01_00169931.pdf,2016
15,Junta de Andalucía,JA 02/2016,La contratación pública de la Administración de la Junta de Andalucía y sus entidades vinculadas. Fiscalización específica de los contratos adjudicados por determinadas Agencias Públicas Empresariales de la JA. 2014 y 2015,"Nro. 234, 04/12/2018",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=474&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=474&type=resume,https://www.juntadeandalucia.es/eboja/2018/234/BOJA18-234-00211-19719-01_00146935.pdf,2016
