Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
1,Organismos y Empresas Públicas,OE 04/2018,"Fiscalización de la sociedad mercantil Desarrollo del Condado, S.A.","Nro. 30, 13/02/2020",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=533&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=533&type=resume,https://www.juntadeandalucia.es/eboja/2020/30/BOJA20-030-00025-2064-01_00169516.pdf,2018
4,Organismos y Empresas Públicas,OE 03/2018,"Fiscalización de la sociedad mercantil Aguas y Residuos del Campo de Gibraltar, S.A.","Nro. 241, 17/12/2019",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=554&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=554&type=resume,https://www.juntadeandalucia.es/eboja/2019/241/BOJA19-241-00096-18540-01_00166664.pdf,2018
9,Organismos y Empresas Públicas,OE 01/2017,Conciliación de saldos pendientes de cobro Junta de Andalucía-Agencias Públicas Empresariales. 2016,"Nro. 22, 01/02/2019",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=512&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=512&type=resume,https://www.juntadeandalucia.es/eboja/2019/22/BOJA19-022-00096-1412-01_00149835.pdf,2017
3,Organismos y Empresas Públicas,OE 02/2017,"Fiscalización de determinadas áreas del Instituto Andaluz de Administración Pública, del Centro Andaluz de Arte Contemporáneo y de la Agencia de Defensa de la Competencia de Andalucía","Nro. 20, 30/01/2020",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=501&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=501&type=resume,https://www.juntadeandalucia.es/eboja/2020/20/BOJA20-020-00052-1127-01_00168620.pdf,2017
6,Organismos y Empresas Públicas,OE 06/2017,Fiscalización operativa del Transporte Sanitario en el Sistema Sanitario Público de Andalucía,"Nro. 132, 11/07/2019",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=520&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=520&type=resume,https://www.juntadeandalucia.es/eboja/2019/132/BOJA19-132-00122-10545-01_00158856.pdf,2017
0,Organismos y Empresas Públicas,OE 09/2016,Fiscalización operativa de las entidades que prestan los servicios de abastecimiento y depuración de aguas,No aparece el nro. de BOJA,No se puede indicar,https://www.ccuentas.es/public/modules/report/downloader.php?file=508&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=508&type=resume,No aparece el enlace de BOJA,2016
14,Organismos y Empresas Públicas,OE 01/2016,"Fiscalización de regularidad del grupo Cetursa, Promonevada, Sierra Nevada Club Agencia de Viajes y Apartahotel Trevenque","Nro. 31, 13/02/2018",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=500&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=500&type=resume,http://www.juntadeandalucia.es/eboja/2018/31/BOJA18-031-00164-2361-01_00129802.pdf,2016
13,Organismos y Empresas Públicas,OE 03/2016,Fiscalización de los sistemas de información y gestión utilizados por las Agencias Públicas Empresariales de Andalucía,"Nro. 110, 08/06/2018",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=502&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=502&type=resume,http://www.juntadeandalucia.es/boja/2018/110/BOJA18-110-00096-9964-01_00137324.pdf,2016
10,Organismos y Empresas Públicas,OE 06/2016,Situación económico-financiera de las Cofradías de Pescadores Andaluzas,"Nro. 241, 14/12/2018",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=505&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=505&type=resume,https://www.juntadeandalucia.es/eboja/2018/241/BOJA18-241-00060-20327-01_00147541.pdf,2016
11,Organismos y Empresas Públicas,OE 05/2016,Fiscalización operativa de la contratación administrativa del SAS. Análisis comparativo de la actividad desarrollada por las Plataformas Provinciales de Contratación,"Nro. 131, 09/07/2018",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=504&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=504&type=resume,http://www.juntadeandalucia.es/boja/2018/131/BOJA18-131-00211-11803-01_00139133.pdf,2016
